teamid,Stat,Value,Rank
7,wins,29,25th
8,evGGARatio,1.0432,10th
8,faceOffWinPercentage,50.6,10th
8,faceOffsLost,2072,29th
8,faceOffsTaken,4194,1st
8,faceOffsWon,2122,2nd
8,gamesPlayed,70,
8,goalsAgainstPerGame,3.086,17th
8,goalsPerGame,2.943,19th
8,losses,30,25th
8,ot,9,8th
8,penaltyKillOpportunities,,18th
8,penaltyKillPercentage,78.7,19th
8,powerPlayGoals,33,23rd
8,powerPlayGoalsAgainst,44,23rd
8,powerPlayOpportunities,184,28th
8,powerPlayPercentage,17.9,21st
8,ptPctg,50.7,24th
8,pts,71,23rd
8,savePctg,0.901,21st
8,shootingPctg,8.6,25th
8,shotsAllowed,31.0286,13th
